Time [s],Channel,Value
0.012665570,2,15304
0.012676915,1,14699
0.012688255,2,14699
0.012699595,1,13788
0.012710935,2,13788
0.012722280,1,13172
0.012733620,2,13172
0.012744960,1,12406
0.012756305,2,12406
0.012767645,1,11297
0.012778985,2,11297
0.012790325,1,10327
0.012801670,2,10327
0.012813010,1,9420
0.012824350,2,9420
0.012835690,1,8244
0.012847035,2,8244
0.012858375,1,7468
0.012869715,2,7468
0.012881060,1,6175
0.012892400,2,6175
0.012903740,1,5327
0.012915080,2,5327
0.012926425,1,3703
0.012937765,2,3703
0.012949105,1,3152
0.012960450,2,3152
0.012971790,1,1711
0.012983130,2,1711
0.012994470,1,839
0.013005815,2,839
0.013017155,1,64738
0.013028495,2,64738
0.013039835,1,63786
0.013051180,2,63786
0.013062520,1,62613
0.013073860,2,62613
0.013085205,1,61467
0.013096545,2,61467
0.013107885,1,60414
0.013119225,2,60414
0.013130570,1,59161
0.013141910,2,59161
0.013153250,1,58049
0.013164590,2,58049
0.013175935,1,57092
0.013187275,2,57092
0.013198615,1,55881
0.013209955,2,55881
0.013221300,1,54978
0.013232640,2,54978
0.013243980,1,54005
0.013255325,2,54005
0.013266665,1,53408
0.013278005,2,53408
0.013289350,1,52082
0.013300690,2,52082
0.013312030,1,51401
0.013323370,2,51401
0.013334715,1,50519
0.013346055,2,50519
0.013357395,1,49906
0.013368735,2,49906
0.013380080,1,49309
0.013391420,2,49309
0.013402760,1,49102
0.013414100,2,49102
0.013425445,1,48310
0.013436785,2,48310
0.013448125,1,47808
0.013459470,2,47808
0.013470810,1,47310
0.013482150,2,47310
0.013493495,1,47380
0.013504835,2,47380
0.013516175,1,47081
0.013527515,2,47081
0.013538860,1,46756
0.013550200,2,46756
0.013561540,1,46843
0.013572880,2,46843
0.013584225,1,47312
0.013595565,2,47312
0.013606905,1,46781
0.013618250,2,46781
0.013629590,1,47246
0.013640930,2,47246
0.013652270,1,46981
0.013663615,2,46981
0.013674955,1,47381
0.013686295,2,47381
0.013697635,1,47993
0.013708980,2,47993
0.013720320,1,47981
0.013731660,2,47981
0.013743005,1,48595
0.013754345,2,48595
0.013765685,1,49354
0.013777030,2,49354
0.013788370,1,48429
0.013799710,2,48429
0.013811050,1,49255
0.013822390,2,49255
0.013833735,1,49995
0.013845075,2,49995
0.013856415,1,51018
0.013867760,2,51018
0.013879100,1,51707
0.013890440,2,51707
0.013901785,1,52972
0.013913125,2,52972
0.013924465,1,53644
0.013935805,2,53644
0.013947145,1,54495
0.013958490,2,54495
0.013969830,1,55815
0.013981170,2,55815
0.013992515,1,57033
0.014003855,2,57033
0.014015195,1,58235
0.014026535,2,58235
